,country,keyword,topic,subtopic,user,date,text,favorite_count,followers_count,url
65,India,environment,Industrial Processes,Industrial,Secretary_MoHUA,Sun Feb 14 12:01:12 +0000 2021,"This mass rapid transit brings convenience, comfort, confidence, punctuality &amp; environment friendly travel for the… https://t.co/7uSR8mHdQD",27,31662,https://t.co/7uSR8mHdQD
66,Unknow,climate,Energy,Energy,TataPower,Sat Feb 13 07:03:00 +0000 2021,"Social Alpha is back with the third edition of Energy Challenge as 'Techtonic - Innovations in Clean Energy', a nat… https://t.co/nIQ1QaygLt",27,36836,https://t.co/nIQ1QaygLt
67,India,CO2,Electricity/Heat,Oil,lakshmishaks,Fri Feb 12 16:52:38 +0000 2021,That is 4191 barrels of oil or 1800 Tonnes of CO2 emissions https://t.co/fbfhXkzYVj,26,948,no url
68,India,climate,Agriculture,Agriculture,Bhupender6190,Mon Feb 15 17:47:44 +0000 2021,@AshishSinghmar @Somesh_IAS Hahaha incorrect ? Ap konsi knowledge ki baat kar rahe hai ..ap climate change me Agric… https://t.co/LwXXd8fVvQ,26,22,https://t.co/LwXXd8fVvQ
69,Unknow,climate,Waste,Waste,PatriotYukon,Sun Feb 14 05:25:01 +0000 2021,"Is it clear now what a scam global warming is? Climate is cyclical, never linear. Oil &amp; gas increase standards of l… https://t.co/X6h7UHRfru",26,1038,https://t.co/X6h7UHRfru
70,India,CO2,Land-Use Change and Forestry,Deforestation,return_tweet,Sun Feb 14 13:06:18 +0000 2021,"@Iris16862713 @SanSip Yes, chai comes from Tea plantation after deforestation and Yoga - while doing Yoga Humans re… https://t.co/Ulh5w7vMjl",26,2,https://t.co/Ulh5w7vMjl
71,Unknow,climate,Electricity/Heat,Gas,PatriotYukon,Sun Feb 14 05:25:01 +0000 2021,"Is it clear now what a scam global warming is? Climate is cyclical, never linear. Oil &amp; gas increase standards of l… https://t.co/X6h7UHRfru",26,1038,https://t.co/X6h7UHRfru
72,Unknow,climate,Electricity/Heat,Oil,PatriotYukon,Sun Feb 14 05:25:01 +0000 2021,"Is it clear now what a scam global warming is? Climate is cyclical, never linear. Oil &amp; gas increase standards of l… https://t.co/X6h7UHRfru",26,1038,https://t.co/X6h7UHRfru
73,Pakistan,climate,Land-Use Change and Forestry,Deforestation,albadari,Wed Feb 17 10:47:38 +0000 2021,@sanabucha Who knew about climate change and deforestation? Your lifafa provider only knew about Changa Manga jungl… https://t.co/TNHS85Sgkr,25,325,https://t.co/TNHS85Sgkr
74,India,environment,Industrial Processes,Industrial,KaiserEjaz,Sat Feb 13 13:43:33 +0000 2021,Adani Enterprises Ltd received Greentech distinguished excellence award on 'Environment Protection' and 'Industrial… https://t.co/3LJeD2w2YP,25,230,https://t.co/3LJeD2w2YP
